ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached_on_Time_Y_N
1,D,Flight,4,2,177,3,low,F,44,1233,1
2,F,Flight,4,5,216,2,low,M,59,3088,1
3,A,Flight,2,2,183,4,low,M,48,3374,1
5,C,Flight,2,2,184,3,medium,F,46,2484,1
8,F,Flight,4,1,233,2,low,F,48,2804,1
10,B,Flight,3,2,164,3,medium,F,29,1187,1
12,F,Flight,4,5,232,3,medium,F,32,3253,1
14,F,Flight,4,4,275,3,high,M,29,2602,1
15,A,Flight,4,3,152,3,low,M,43,1009,1
16,B,Flight,4,3,227,3,low,F,45,2707,1
18,F,Ship,5,5,227,3,medium,M,36,3952,1
19,D,Ship,5,5,239,3,high,M,18,2495,1
20,F,Ship,4,5,145,3,medium,M,45,1059,1
21,A,Ship,3,3,161,2,medium,F,38,1521,1
22,B,Ship,3,1,232,4,medium,F,51,2899,1
25,D,Ship,4,5,251,2,medium,F,28,3561,1
26,F,Ship,3,1,225,4,low,M,29,3496,1
27,A,Ship,4,1,172,3,high,F,24,1066,1
28,B,Ship,5,1,162,3,medium,M,31,1435,1
29,C,Ship,2,3,234,4,low,M,44,3134,1
30,F,Ship,5,4,183,2,low,F,36,3819,1
31,D,Ship,3,4,266,2,medium,F,38,2741,1
32,F,Ship,5,3,257,2,low,F,61,3341,1
33,A,Ship,3,1,223,3,low,F,22,3795,1
35,C,Ship,4,2,227,4,medium,F,22,2460,1
36,F,Ship,5,4,149,3,medium,F,44,1811,1
37,D,Ship,3,5,137,4,high,F,62,1477,1
38,F,Ship,2,4,181,6,medium,F,16,3605,1
39,A,Ship,5,1,215,4,low,F,56,3905,1
40,B,Ship,4,2,269,5,low,F,45,2383,1
41,C,Ship,5,1,227,2,low,M,15,3798,1
42,F,Ship,5,5,139,4,medium,M,61,1265,1
43,D,Ship,3,5,137,2,medium,M,38,1647,1
44,F,Ship,3,1,174,2,low,M,44,1556,1
45,A,Ship,3,1,151,2,low,M,29,1328,1
47,C,Ship,3,4,169,4,medium,F,32,1245,1
48,F,Ship,5,1,160,2,low,M,32,1576,1
50,F,Ship,5,3,216,3,low,F,40,2146,1
51,A,Ship,4,1,183,3,low,M,37,2042,1
52,B,Ship,4,4,141,3,low,M,22,1735,1
53,C,Ship,4,3,165,3,low,F,44,1320,1
54,F,Ship,2,1,170,3,low,M,41,1128,1
56,F,Ship,2,5,246,5,low,M,46,2437,1
57,A,Ship,3,3,238,3,low,F,61,3096,1
58,B,Ship,3,3,193,3,medium,F,29,3453,1
59,C,Ship,5,5,141,3,high,M,41,1367,1
60,F,Ship,4,1,150,3,high,F,17,1923,1
61,D,Ship,3,1,221,3,low,F,64,2794,1
62,F,Ship,3,3,179,3,medium,M,52,1158,1
63,A,Ship,5,1,105,6,medium,M,62,1292,1
64,B,Ship,3,1,177,3,medium,M,61,1880,1
65,C,Ship,4,5,261,2,high,M,49,3045,1
66,F,Ship,3,2,202,3,low,M,49,2881,1
67,D,Ship,3,2,109,3,medium,F,15,1710,1
70,B,Ship,3,5,206,3,medium,M,39,2929,1
71,C,Ship,5,1,187,4,high,M,14,3849,1
73,D,Ship,5,5,232,3,medium,F,33,2998,1
74,F,Ship,4,5,215,3,medium,F,21,3984,1
76,B,Ship,4,1,266,3,low,F,23,3775,1
77,C,Ship,2,3,158,2,medium,F,36,1788,1
78,F,Ship,3,3,113,3,low,F,43,1518,1
79,D,Ship,3,4,223,3,low,M,18,3959,1
80,F,Ship,3,5,257,2,medium,F,56,3711,1
81,A,Ship,3,4,180,2,medium,F,49,1942,1
82,B,Ship,2,5,132,3,low,M,18,1759,1
83,C,Ship,4,4,217,3,high,F,26,2875,1
84,F,Ship,5,5,162,3,high,F,31,1364,1
85,D,Ship,4,5,197,2,medium,F,40,2710,1
87,A,Ship,4,1,185,2,low,M,44,2910,1
89,C,Ship,3,3,229,3,low,M,49,2339,1
90,F,Ship,4,1,186,4,medium,F,57,3880,1
91,D,Ship,5,3,174,6,high,F,41,1085,1
92,F,Ship,5,5,286,3,low,F,18,3163,1
94,B,Ship,3,3,219,3,medium,F,17,3387,1
95,C,Ship,4,1,213,4,high,F,35,2343,1
96,F,Ship,2,3,235,3,low,M,57,2034,1
97,D,Ship,3,3,149,2,medium,M,18,1225,1
100,B,Ship,4,2,145,2,medium,M,21,1617,1
101,C,Ship,5,3,143,2,medium,M,59,1837,1
102,F,Ship,5,5,227,4,low,M,53,2624,1
103,D,Ship,2,1,213,3,low,M,29,2732,1
104,F,Ship,5,1,144,4,low,M,37,1658,1
106,B,Ship,4,2,144,3,medium,M,59,1588,1
107,C,Ship,3,1,238,3,low,M,17,2624,1
108,F,Ship,4,5,216,3,high,M,26,2053,1
109,D,Ship,4,5,238,3,high,F,55,3257,1
110,F,Ship,4,1,141,3,medium,M,47,1250,1
112,B,Road,4,2,239,3,low,F,65,3679,1
113,C,Road,4,3,175,2,low,M,25,1816,1
114,F,Road,3,2,263,3,low,M,41,2817,1
115,D,Road,3,5,168,2,high,M,50,1616,1
116,F,Road,3,4,176,3,high,M,36,1779,1
117,A,Road,4,1,150,4,high,M,60,1024,1
118,B,Road,4,3,265,2,medium,F,31,2326,1
120,F,Road,5,1,145,3,low,M,20,1387,1
121,D,Road,4,2,183,3,low,F,33,2741,1
122,F,Road,3,3,205,3,medium,F,19,2167,1
123,A,Road,4,2,160,3,low,M,64,1714,1
124,B,Road,3,3,252,2,medium,F,48,2102,1
126,F,Road,3,3,203,2,low,M,25,3607,1
127,D,Road,4,5,220,3,medium,M,40,3516,1
128,F,Road,3,3,147,4,low,F,60,1722,1
129,A,Road,4,4,200,4,medium,M,16,2060,1
130,B,Road,4,5,224,4,medium,M,21,2026,1
131,C,Road,3,5,179,2,low,F,17,1364,1
132,F,Road,3,4,144,3,low,M,50,1865,1
133,D,Flight,5,2,247,3,low,M,17,3889,1
134,F,Flight,5,4,280,6,medium,F,51,3582,1
137,C,Flight,3,3,189,4,medium,F,51,2208,1
139,D,Flight,4,1,207,5,low,M,48,2399,1
141,A,Flight,4,4,264,3,high,M,59,2020,1
142,B,Flight,5,4,149,3,low,M,51,1645,1
143,C,Flight,5,5,162,3,low,M,41,1462,1
144,F,Flight,2,1,205,4,medium,F,63,2156,1
145,D,Flight,2,1,158,3,medium,F,51,1540,1
146,F,Flight,2,2,248,2,low,M,46,3707,1
147,A,Flight,3,5,191,3,low,M,23,3750,1
148,B,Flight,4,3,146,4,medium,F,24,1844,1
149,C,Flight,3,3,135,3,low,M,56,1490,1
150,F,Flight,5,1,149,3,low,M,40,1062,1
152,F,Flight,5,3,98,5,medium,M,44,1269,1
153,A,Flight,3,4,97,4,low,M,32,1238,1
154,B,Flight,3,3,183,2,low,M,53,3932,1
156,F,Ship,5,1,114,4,low,F,47,1443,1
157,D,Ship,6,3,275,5,low,M,41,2491,1
158,F,Ship,3,2,203,2,medium,F,39,3845,1
159,A,Ship,5,5,205,2,high,M,65,3671,1
160,B,Ship,3,3,149,3,low,F,63,1946,1
161,C,Ship,2,2,112,4,medium,M,56,1138,1
162,F,Ship,3,1,207,3,medium,F,56,3482,1
163,D,Ship,4,1,261,4,low,F,58,3427,1
165,A,Ship,3,5,141,2,low,M,52,1692,1
166,B,Ship,3,3,166,4,medium,F,17,1498,1
167,C,Ship,5,2,141,3,high,F,34,1020,1
168,F,Ship,4,5,152,3,low,M,43,1709,1
169,D,Ship,4,2,250,3,low,F,53,2478,1
170,F,Ship,4,3,161,3,medium,F,28,1809,1
172,B,Ship,4,4,176,4,high,F,52,1096,1
173,C,Ship,3,4,148,3,low,M,56,1550,1
174,F,Ship,3,2,270,3,low,F,63,2751,1
175,D,Ship,3,3,242,3,low,F,51,3935,1
177,A,Ship,4,5,192,3,high,M,20,3872,1
178,B,Ship,4,5,116,3,medium,M,54,1314,1
181,D,Ship,4,1,161,7,medium,F,18,1294,1
182,F,Ship,4,5,157,3,low,M,20,1487,1
183,A,Ship,3,2,164,10,high,F,28,1940,1
184,B,Ship,3,5,162,7,medium,F,16,1052,1
185,C,Ship,3,3,146,2,low,M,50,1486,1
186,F,Ship,3,2,209,3,medium,M,54,3001,1
187,D,Ship,5,4,134,2,medium,F,55,1386,1
189,A,Ship,2,5,139,3,low,F,27,1233,1
