ID,Warehouse_block,Region,Manager,Cost_of_the_Product
1,D,West,David,177
2,F,Central,Eve,216
3,A,North,Alice,183
4,B,East,Bob,176
5,C,South,Carol,184
6,F,Central,Eve,162
7,D,West,David,250
8,F,Central,Eve,233
9,A,North,Alice,150
10,B,East,Bob,164
11,C,South,Carol,189
12,F,Central,Eve,232
13,D,West,David,198
14,F,Central,Eve,275
15,A,North,Alice,152
16,B,East,Bob,227
17,C,South,Carol,143
18,F,Central,Eve,227
19,D,West,David,239
20,F,Central,Eve,145
21,A,North,Alice,161
22,B,East,Bob,232
23,C,South,Carol,156
24,F,Central,Eve,211
25,D,West,David,251
26,F,Central,Eve,225
27,A,North,Alice,172
28,B,East,Bob,162
29,C,South,Carol,234
30,F,Central,Eve,183
31,D,West,David,266
32,F,Central,Eve,257
33,A,North,Alice,223
34,B,East,Bob,234
35,C,South,Carol,227
36,F,Central,Eve,149
37,D,West,David,137
38,F,Central,Eve,181
39,A,North,Alice,215
40,B,East,Bob,269
41,C,South,Carol,227
42,F,Central,Eve,139
43,D,West,David,137
44,F,Central,Eve,174
45,A,North,Alice,151
46,B,East,Bob,210
47,C,South,Carol,169
48,F,Central,Eve,160
49,D,West,David,190
50,F,Central,Eve,216
51,A,North,Alice,183
52,B,East,Bob,141
53,C,South,Carol,165
54,F,Central,Eve,170
55,D,West,David,203
56,F,Central,Eve,246
57,A,North,Alice,238
58,B,East,Bob,193
59,C,South,Carol,141
60,F,Central,Eve,150
61,D,West,David,221
62,F,Central,Eve,179
63,A,North,Alice,105
64,B,East,Bob,177
65,C,South,Carol,261
66,F,Central,Eve,202
67,D,West,David,109
68,F,Central,Eve,158
69,A,North,Alice,231
70,B,East,Bob,206
71,C,South,Carol,187
72,F,Central,Eve,230
73,D,West,David,232
74,F,Central,Eve,215
75,A,North,Alice,238
76,B,East,Bob,266
77,C,South,Carol,158
78,F,Central,Eve,113
79,D,West,David,223
80,F,Central,Eve,257
81,A,North,Alice,180
82,B,East,Bob,132
83,C,South,Carol,217
84,F,Central,Eve,162
85,D,West,David,197
86,F,Central,Eve,197
87,A,North,Alice,185
88,B,East,Bob,278
89,C,South,Carol,229
90,F,Central,Eve,186
91,D,West,David,174
92,F,Central,Eve,286
93,A,North,Alice,175
94,B,East,Bob,219
95,C,South,Carol,213
96,F,Central,Eve,235
97,D,West,David,149
98,F,Central,Eve,271
99,A,North,Alice,144
100,B,East,Bob,145
101,C,South,Carol,143
102,F,Central,Eve,227
103,D,West,David,213
104,F,Central,Eve,144
105,A,North,Alice,218
106,B,East,Bob,144
107,C,South,Carol,238
108,F,Central,Eve,216
109,D,West,David,238
110,F,Central,Eve,141
111,A,North,Alice,158
112,B,East,Bob,239
113,C,South,Carol,175
114,F,Central,Eve,263
115,D,West,David,168
116,F,Central,Eve,176
117,A,North,Alice,150
118,B,East,Bob,265
119,C,South,Carol,263
120,F,Central,Eve,145
121,D,West,David,183
122,F,Central,Eve,205
123,A,North,Alice,160
124,B,East,Bob,252
125,C,South,Carol,222
126,F,Central,Eve,203
127,D,West,David,220
128,F,Central,Eve,147
129,A,North,Alice,200
130,B,East,Bob,224
131,C,South,Carol,179
132,F,Central,Eve,144
133,D,West,David,247
134,F,Central,Eve,280
135,A,North,Alice,168
136,B,East,Bob,157
137,C,South,Carol,189
138,F,Central,Eve,162
139,D,West,David,207
140,F,Central,Eve,237
141,A,North,Alice,264
142,B,East,Bob,149
143,C,South,Carol,162
144,F,Central,Eve,205
145,D,West,David,158
146,F,Central,Eve,248
147,A,North,Alice,191
148,B,East,Bob,146
149,C,South,Carol,135
150,F,Central,Eve,149
151,D,West,David,220
152,F,Central,Eve,98
153,A,North,Alice,97
154,B,East,Bob,183
155,C,South,Carol,162
156,F,Central,Eve,114
157,D,West,David,275
158,F,Central,Eve,203
159,A,North,Alice,205
160,B,East,Bob,149
161,C,South,Carol,112
162,F,Central,Eve,207
163,D,West,David,261
164,F,Central,Eve,274
165,A,North,Alice,141
166,B,East,Bob,166
167,C,South,Carol,141
168,F,Central,Eve,152
169,D,West,David,250
170,F,Central,Eve,161
171,A,North,Alice,185
172,B,East,Bob,176
173,C,South,Carol,148
174,F,Central,Eve,270
175,D,West,David,242
176,F,Central,Eve,150
177,A,North,Alice,192
178,B,East,Bob,116
179,C,South,Carol,192
180,F,Central,Eve,255
181,D,West,David,161
182,F,Central,Eve,157
183,A,North,Alice,164
184,B,East,Bob,162
185,C,South,Carol,146
186,F,Central,Eve,209
187,D,West,David,134
188,F,Central,Eve,222
189,A,North,Alice,139
190,B,East,Bob,134
191,C,South,Carol,130
192,F,Central,Eve,133
193,D,West,David,140
194,F,Central,Eve,158
195,A,North,Alice,270
196,B,East,Bob,140
197,C,South,Carol,135
198,F,Central,Eve,136
199,D,West,David,142
200,F,Central,Eve,154
201,A,North,Alice,139
202,B,East,Bob,160
203,C,South,Carol,134
204,F,Central,Eve,161
205,D,West,David,155
206,F,Central,Eve,145
207,A,North,Alice,157
208,B,East,Bob,160
209,C,South,Carol,152
210,F,Central,Eve,148
211,D,West,David,127
212,F,Central,Eve,154
213,A,North,Alice,127
214,B,East,Bob,160
215,C,South,Carol,129
216,F,Central,Eve,158
217,D,West,David,185
218,F,Central,Eve,176
219,A,North,Alice,148
220,B,East,Bob,270
221,C,South,Carol,242
222,F,Central,Eve,150
223,D,West,David,192
224,F,Central,Eve,116
225,A,North,Alice,192
226,B,East,Bob,255
227,C,South,Carol,161
228,F,Central,Eve,157
229,D,West,David,164
230,F,Central,Eve,162
231,A,North,Alice,146
232,B,East,Bob,209
233,C,South,Carol,134
234,F,Central,Eve,222
235,D,West,David,139
236,F,Central,Eve,134
237,A,North,Alice,130
238,B,East,Bob,133
239,C,South,Carol,140
240,F,Central,Eve,158
241,D,West,David,270
